Swicht Akko v3 creamy blue 45 pack,          x2,29.12$ (14.56$ x2),aliexprees,https://pl.aliexpress.com/item/1005006382591392.html?spm=a2g0o.cart.0.0.705138da1eohrZ&mp=1&gatewayAdapt=glo2pol
Keyboard Pcb + ship + tax,          x1,40.42$,Jbpcb,https://jlcpcb.com/
"1N4148W Diodes, Headers, Shipping",          x1,10.31$,tme.eu,https://www.tme.eu/pl/
rassbery pico - rp2040 plus,          x1,6.76$,aliexprees,https://pl.aliexpress.com/item/1005005655604927.html?spm=a2g0o.cart.0.0.705138da1eohrZ&mp=1&gatewayAdapt=glo2pol
keyscaps stabilizator,          x1,5.78$,aliexprees,https://pl.aliexpress.com/item/1005001686299616.html?spm=a2g0o.cart.0.0.705138da1eohrZ&mp=1&gatewayAdapt=glo2pol
keycaps - purple + dark,          x1,4.01$,aliexprees,https://pl.aliexpress.com/item/1005011904232892.html?spm=a2g0o.cart.0.0.705138da1eohrZ&mp=1&gatewayAdapt=glo2pol
 cable 20 pack F to F,          x2,2.70$ (1.35$ x2),aliexprees,https://pl.aliexpress.com/item/1005007138874742.html?spm=a2g0o.cart.0.0.705138da1eohrZ&mp=1&gatewayAdapt=glo2pol
,,,,
Total Cost: $99.10,,,,
I ask for 100$ if something left i give it back,,,,
